symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOGL,2021-04-29 00:00:00+00:00,8.74,8.82,8.565,8.81,1075401,6.2773706784,6.334829449,6.1516796179,6.3276471026,1075401,0.0,1.0
GOGL,2021-04-30 00:00:00+00:00,8.7,8.78,8.69,8.74,599192,6.2486412932,6.3061000637,6.2414589469,6.2773706784,599192,0.0,1.0
GOGL,2021-05-03 00:00:00+00:00,9.35,9.49,9.05,9.11,1667012,6.7154938036,6.816046652,6.5000234142,6.5431174921,1667012,0.0,1.0
GOGL,2021-05-04 00:00:00+00:00,9.15,9.385,9.0,9.27,1577206,6.5718468773,6.7406320157,6.4641116826,6.6580350331,1577206,0.0,1.0
GOGL,2021-05-05 00:00:00+00:00,9.11,9.33,9.062,9.27,1355674,6.5431174921,6.701129111,6.5086422298,6.6580350331,1355674,0.0,1.0
GOGL,2021-05-06 00:00:00+00:00,8.84,8.85,8.44,8.58,1282513,6.3491941416,6.3563764879,6.061900289,6.1624531374,1282513,0.0,1.0
GOGL,2021-05-07 00:00:00+00:00,9.29,9.34,8.95,8.98,756459,6.6723997257,6.7083114573,6.428199951,6.44974699,756459,0.0,1.0
GOGL,2021-05-10 00:00:00+00:00,9.445,9.68,9.42,9.63,1321339,6.7837260936,6.952511232,6.7657702278,6.9165995004,1321339,0.0,1.0
GOGL,2021-05-11 00:00:00+00:00,9.34,9.52,9.1,9.16,981450,6.7083114573,6.8375936909,6.5359351457,6.5790292236,981450,0.0,1.0
GOGL,2021-05-12 00:00:00+00:00,8.7,8.93,8.65,8.7974,1228508,6.2486412932,6.4138352584,6.2127295616,6.3185973463,1228508,0.0,1.0
GOGL,2021-05-13 00:00:00+00:00,8.78,8.84,8.58,8.59,641425,6.3061000637,6.3491941416,6.1624531374,6.1696354837,641425,0.0,1.0
GOGL,2021-05-14 00:00:00+00:00,8.875,8.91,8.71,8.82,671780,6.3743323537,6.3994705658,6.2558236395,6.334829449,671780,0.0,1.0
GOGL,2021-05-17 00:00:00+00:00,8.96,9.0,8.78,8.95,740496,6.4353822973,6.4641116826,6.3061000637,6.428199951,740496,0.0,1.0
GOGL,2021-05-18 00:00:00+00:00,9.39,9.48,9.31,9.33,1013480,6.7442231889,6.8088643057,6.6867644183,6.701129111,1013480,0.0,1.0
GOGL,2021-05-19 00:00:00+00:00,9.66,9.77,9.26,9.32,1232659,6.9381465393,7.0171523488,6.6508526868,6.6939467647,1232659,0.0,1.0
GOGL,2021-05-20 00:00:00+00:00,10.26,10.42,9.72,9.93,1751199,7.3690873182,7.4840048592,6.9812406172,7.1320698898,1751199,0.0,1.0
GOGL,2021-05-21 00:00:00+00:00,10.64,10.73,10.2,10.2,1717552,7.6420164781,7.7066575949,7.3259932403,7.3259932403,1717552,0.0,1.0
GOGL,2021-05-24 00:00:00+00:00,10.75,10.89,10.6,10.8,1561566,7.7210222876,7.821575136,7.6132870928,7.7569340191,1561566,0.0,1.0
GOGL,2021-05-25 00:00:00+00:00,9.95,10.18,9.9,10.09,2459623,7.1464345824,7.3116285477,7.1105228509,7.2469874308,2459623,0.0,1.0
GOGL,2021-05-26 00:00:00+00:00,9.61,9.7415,9.47,9.72,2824983,6.9022348078,6.9966826618,6.8016819594,6.9812406172,2824983,0.0,1.0
GOGL,2021-05-27 00:00:00+00:00,9.73,9.75,9.52,9.67,1154922,6.9884229635,7.0027876562,6.8375936909,6.9453288856,1154922,0.0,1.0
GOGL,2021-05-28 00:00:00+00:00,9.97,10.01,9.74,9.76,1005514,7.1607992751,7.1895286603,6.9956053098,7.0099700025,1005514,0.0,1.0
GOGL,2021-06-01 00:00:00+00:00,10.52,10.6,10.41,10.53,1315245,7.5558283223,7.6132870928,7.4768225129,7.5630106686,1315245,0.0,1.0
GOGL,2021-06-02 00:00:00+00:00,10.08,10.11,9.871,10.09,1705634,7.4193637424,7.4414451821,7.2655297124,7.4267242223,1705634,0.25,1.0
GOGL,2021-06-03 00:00:00+00:00,9.81,9.98,9.66,9.85,1212931,7.220630785,7.3457589433,7.1102235864,7.2500727046,1212931,0.0,1.0
GOGL,2021-06-04 00:00:00+00:00,10.03,10.06,9.94,10.01,577756,7.3825613429,7.4046427826,7.3163170237,7.367840383,577756,0.0,1.0
GOGL,2021-06-07 00:00:00+00:00,10.26,10.37,10.06,10.11,677603,7.5518523806,7.6328176596,7.4046427826,7.4414451821,677603,0.0,1.0
GOGL,2021-06-08 00:00:00+00:00,10.23,10.3,10.115,10.26,615482,7.5297709409,7.5812943002,7.445125422,7.5518523806,615482,0.0,1.0
GOGL,2021-06-09 00:00:00+00:00,10.64,10.735,10.41,10.45,1047626,7.8315506169,7.901475176,7.6622595792,7.6917014988,1047626,0.0,1.0
GOGL,2021-06-10 00:00:00+00:00,10.95,11.07,10.88,10.9,1155398,8.0597254939,8.1480512528,8.0082021346,8.0229230944,1155398,0.0,1.0
GOGL,2021-06-11 00:00:00+00:00,11.09,11.18,10.92,11.12,940174,8.1627722126,8.2290165317,8.0376440542,8.1848536523,940174,0.0,1.0
GOGL,2021-06-14 00:00:00+00:00,10.74,11.07,10.61,10.89,1416197,7.905155416,8.1480512528,7.8094691772,8.0155626145,1416197,0.0,1.0
GOGL,2021-06-15 00:00:00+00:00,11.02,11.0789,10.76,11.02,1084324,8.1112488533,8.1546020799,7.9198763758,8.1112488533,1084324,0.0,1.0
GOGL,2021-06-16 00:00:00+00:00,11.29,11.495,10.9799,10.98,1201023,8.3099818106,8.4608716487,8.0817333289,8.0818069337,1201023,0.0,1.0
GOGL,2021-06-17 00:00:00+00:00,10.57,10.9,10.33,10.81,1615253,7.7800272576,8.0229230944,7.6033757399,7.9566787753,1615253,0.0,1.0
GOGL,2021-06-18 00:00:00+00:00,10.11,10.23,9.97,10.13,1540513,7.4414451821,7.5297709409,7.3383984634,7.4561661419,1540513,0.0,1.0
GOGL,2021-06-21 00:00:00+00:00,10.51,10.58,10.19,10.24,983517,7.7358643782,7.7873877375,7.5003290213,7.5371314208,983517,0.0,1.0
